triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
00110111_000000_011,y,0,9.691729ms,141.883853ms,202.826228467s,202.977804049s
01110111001000_00_1,y,0,9.924494ms,129.159383ms,202.978826702s,203.117910579s
00010010000_01111_1,y,0,10.300105ms,163.059734ms,194.449342522s,194.622702361s
000110000_010000_11,y,0,9.444683ms,140.113504ms,210.636294104s,210.785852291s
1000111011_01111_00,y,0,8.663405ms,122.252222ms,199.1784027s,199.309318327s
0101111_110000_0100,y,0,8.994488ms,118.653977ms,187.923556567s,188.051205032s
00111010111_01111_1,y,0,9.768724ms,129.307067ms,204.73287603s,204.871951821s
00010000_0010000_11,y,0,10.708157ms,151.677143ms,192.324169181s,192.486554481s
01001101000_01111_1,y,0,10.218919ms,116.231756ms,199.422012953s,199.548463628s
0010111011_010000_1,y,0,9.182988ms,116.750228ms,182.602049789s,182.727983005s
11011011_0111111_00,y,0,9.307676ms,147.027396ms,210.090159195s,210.246494267s
001000100_1111_0000,y,0,10.093426ms,150.448219ms,195.110809865s,195.27135151s
0100100010100_11_00,y,0,8.710777ms,125.677432ms,182.836220262s,182.970608471s
00100100_011000_000,y,0,10.07967ms,107.673518ms,181.859168279s,181.976921467s
1000000_011011_0000,y,0,9.034944ms,138.603325ms,201.142815216s,201.290453485s
0110101111_01111_11,y,0,9.093983ms,112.224897ms,193.445824786s,193.567143666s
01110111_00010100_1,y,0,8.329184ms,139.033365ms,193.02183827s,193.169200819s
00010000_11111_0000,y,0,9.785038ms,167.390396ms,204.995893496s,205.17306893s
011111011_101011_00,y,0,9.446466ms,125.733423ms,187.576701826s,187.711881715s
010100001000_0111_1,y,0,10.036479ms,133.734066ms,187.970334019s,188.114104564s
0111010110111_11_00,y,0,9.053703ms,131.648587ms,179.152326096s,179.293028386s
011011111_101111_00,y,0,9.746933ms,142.423211ms,192.621968937s,192.774139081s
001110100000_0111_1,y,0,10.605089ms,125.025961ms,217.122493708s,217.258124758s
010011000000_000_11,y,0,9.343649ms,139.859359ms,202.441460721s,202.590663729s
00110000_00010000_1,y,0,10.736356ms,143.450323ms,215.503464537s,215.657651216s
0100000011000_11_00,y,0,11.080807ms,147.932177ms,217.299906369s,217.458919353s
0100111101111_000_1,y,0,9.946306ms,150.494893ms,202.460146843s,202.620588042s
0111011_00111_00000,y,0,10.193936ms,137.924379ms,197.749250743s,197.897369058s
01001000_00111_0111,y,0,9.330745ms,117.661874ms,176.467221739s,176.594214358s
0010010111_001000_1,y,0,9.107648ms,108.828284ms,185.144777431s,185.262713363s
011011011_0100000_1,y,0,9.964515ms,133.563264ms,176.519800554s,176.663328333s
010110111_0100000_1,y,0,9.162988ms,129.748627ms,174.747728615s,174.88664023s
011000100_0111_0100,y,0,10.290249ms,112.941992ms,190.677596s,190.800828241s
010111011_0111_0100,y,0,9.78851ms,106.381824ms,177.476412821s,177.592583155s
01110111_0110111_00,y,0,9.591375ms,126.567817ms,191.725577052s,191.861736244s
010110010111_011_00,y,0,10.977364ms,96.38768ms,188.135679832s,188.243044876s
01110000_00110000_1,y,0,9.164802ms,125.118302ms,207.959307285s,208.093590389s
0100100000_011111_1,y,0,8.367276ms,152.767387ms,182.256716241s,182.417850904s
0110110000_010000_1,y,0,10.586901ms,122.04108ms,187.691041679s,187.82366966s
01101011000_01000_1,y,0,8.878839ms,103.921235ms,177.033539976s,177.14634005s
0110010000_0100_111,y,0,9.052274ms,129.002617ms,187.200591895s,187.338646786s
011100111_010100_11,y,0,9.512667ms,112.225865ms,198.88136808s,199.003106612s
0101001000100_11_00,y,0,9.239533ms,124.969988ms,182.67306299s,182.807272511s
01001111_0111011_11,y,0,10.117516ms,119.405525ms,197.246261201s,197.375784242s
0001001111_010111_1,y,0,9.448034ms,122.776572ms,186.557543241s,186.689767847s
00101011111_00000_1,y,0,8.893399ms,132.689557ms,195.899083105s,196.040666061s
00101111_01001000_1,y,0,9.769348ms,124.084878ms,196.831757653s,196.965611879s
001100000_10111_000,y,0,10.198615ms,140.207001ms,201.224933317s,201.375338933s
01101010111_01000_1,y,0,9.029267ms,108.10704ms,165.142199123s,165.25933543s
01000100100_0111_00,y,0,9.63043ms,122.751859ms,177.91633774s,178.048720029s
001111_001000_01011,y,0,9.259878ms,114.391644ms,177.57656001s,177.700211532s
01101100101000_00_1,y,0,9.071726ms,103.962648ms,176.134905028s,176.247939402s
000100000_0100000_1,y,0,9.215864ms,156.727865ms,212.683039114s,212.848982843s
01011110110000_00_1,y,0,9.67333ms,121.311328ms,189.368194943s,189.499179601s
00100100_00110000_1,y,0,9.723634ms,125.065384ms,200.094606345s,200.229395363s
1011111_001000_0111,y,0,9.175327ms,154.126117ms,194.260839399s,194.424140843s
0111101110111_000_1,y,0,9.292121ms,151.896837ms,186.564556269s,186.725745227s
0111010111_011000_1,y,0,9.749153ms,114.972296ms,199.931028149s,200.055749598s
1011000_001000_0111,y,0,9.11187ms,126.485111ms,201.431840412s,201.567437393s
111001111_011111_00,y,0,10.377476ms,147.193615ms,225.499880981s,225.657452072s
01001111_10000_0111,y,0,8.739109ms,123.010692ms,197.776116798s,197.907866599s
0011111011_00100_11,y,0,8.945429ms,137.468546ms,209.239869006s,209.386282981s
011001000_011111_11,y,0,9.421361ms,125.135482ms,199.497883457s,199.6324403s
011111011_001000_11,y,0,9.120804ms,146.64504ms,191.136811596s,191.29257744s
