triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0101111_0000_11,y,0,3.694176ms,31.098077ms,21.256273378s,21.291065631s
00010000_0000_1,y,0,3.974653ms,34.047246ms,23.010393271s,23.04841517s
00111011_0000_1,y,0,3.716666ms,29.392285ms,21.843992083s,21.877101034s
010000_00100_11,y,0,3.977854ms,29.639408ms,21.190318843s,21.223936105s
01100000_111_00,y,0,4.064749ms,33.942684ms,23.376919494s,23.414926927s
0101111111_00_1,y,0,3.862116ms,32.699134ms,21.58348529s,21.62004654s
0110101111_00_1,y,0,3.682874ms,26.352299ms,18.936883031s,18.966918204s
0101111_0100_11,y,0,3.685068ms,25.686371ms,20.278911669s,20.308283108s
0011111_00100_1,y,0,3.821135ms,28.458868ms,21.61613797s,21.648417973s
011111_0000_111,y,0,4.109961ms,37.271747ms,24.251057892s,24.2924396s
010000_01011_00,y,0,4.01063ms,22.9582ms,17.906586299s,17.933555129s
00000100_0111_1,y,0,4.005884ms,33.842235ms,22.376834429s,22.414682548s
0110101011_00_1,y,0,3.793143ms,21.161207ms,17.142843987s,17.167798337s
011111_00100_11,y,0,3.668874ms,31.899997ms,21.893862881s,21.929431752s
011010111_11_00,y,0,3.940965ms,26.031679ms,19.668612697s,19.698585341s
01000000_111_00,y,0,4.254915ms,40.118696ms,23.647562878s,23.691936489s
00101111_0000_1,y,0,3.874733ms,30.349087ms,22.672993215s,22.707217035s
010000_0111_000,y,0,3.920489ms,27.544009ms,19.849004848s,19.880469346s
101011_0111_000,y,0,3.70413ms,25.083882ms,19.3633398s,19.392127812s
0101010111_00_1,y,0,3.693547ms,20.532545ms,17.207897209s,17.232123301s
0101011111_00_1,y,0,4.04593ms,26.739224ms,19.631147997s,19.661933151s
0110111_0000_11,y,0,4.102088ms,34.99289ms,21.410381069s,21.449476047s
01100000_000_11,y,0,3.873902ms,31.337529ms,22.802013716s,22.837225147s
0111111_1111_00,y,0,3.96953ms,35.756535ms,24.75480398s,24.794530045s
010111_01000_00,y,0,4.212674ms,23.859548ms,18.908717353s,18.936789575s
011110111_11_00,y,0,3.756163ms,33.194941ms,21.490315111s,21.527266215s
010100000_11_00,y,0,3.737531ms,28.89306ms,19.992573302s,20.025203893s
01111_10111_000,y,0,3.686989ms,30.112224ms,20.946157654s,20.979956867s
